// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in D:\Storage\Project\benchmark\CodeBenchmark\bin\Release\net7.0\2eaa5f85-ef57-484f-929c-e4dfd389b458
// command took 1.93 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in D:\Storage\Project\benchmark\CodeBenchmark\bin\Release\net7.0\2eaa5f85-ef57-484f-929c-e4dfd389b458
// command took 4.05 sec and exited with 0
// ***** Done, took 00:00:06 (6.08 sec)   *****
// Found 3 benchmarks:
//   BoxingBenchmark.TestingArrayList: DefaultJob [N=1000]
//   BoxingBenchmark.TestingObjectList: DefaultJob [N=1000]
//   BoxingBenchmark.TestingIntList: DefaultJob [N=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: BoxingBenchmark.TestingArrayList: DefaultJob [N=1000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 2eaa5f85-ef57-484f-929c-e4dfd389b458.dll --anonymousPipes 1436 1432 --benchmarkName "CodeBenchmark.src.Boxing.BoxingBenchmark.TestingArrayList(N: 1000)" --job Default --benchmarkId 0 in D:\Storage\Project\benchmark\CodeBenchmark\bin\Release\net7.0\2eaa5f85-ef57-484f-929c-e4dfd389b458\bin\Release\net7.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.7
// Runtime=.NET 7.0.10 (7.0.1023.36312), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 250300.00 ns, 250.3000 us/op
WorkloadJitting  1: 1 op, 4727700.00 ns, 4.7277 ms/op

OverheadJitting  2: 16 op, 295900.00 ns, 18.4937 us/op
WorkloadJitting  2: 16 op, 78432400.00 ns, 4.9020 ms/op

WorkloadPilot    1: 16 op, 77258600.00 ns, 4.8287 ms/op
WorkloadPilot    2: 32 op, 152639900.00 ns, 4.7700 ms/op
WorkloadPilot    3: 64 op, 185612900.00 ns, 2.9002 ms/op
WorkloadPilot    4: 128 op, 352117100.00 ns, 2.7509 ms/op
WorkloadPilot    5: 256 op, 814007700.00 ns, 3.1797 ms/op

OverheadWarmup   1: 256 op, 2300.00 ns, 8.9844 ns/op
OverheadWarmup   2: 256 op, 1300.00 ns, 5.0781 ns/op
OverheadWarmup   3: 256 op, 1400.00 ns, 5.4688 ns/op
OverheadWarmup   4: 256 op, 1300.00 ns, 5.0781 ns/op
OverheadWarmup   5: 256 op, 1300.00 ns, 5.0781 ns/op
OverheadWarmup   6: 256 op, 1100.00 ns, 4.2969 ns/op

OverheadActual   1: 256 op, 1300.00 ns, 5.0781 ns/op
OverheadActual   2: 256 op, 1300.00 ns, 5.0781 ns/op
OverheadActual   3: 256 op, 1300.00 ns, 5.0781 ns/op
OverheadActual   4: 256 op, 1700.00 ns, 6.6406 ns/op
OverheadActual   5: 256 op, 1300.00 ns, 5.0781 ns/op
OverheadActual   6: 256 op, 7700.00 ns, 30.0781 ns/op
OverheadActual   7: 256 op, 1500.00 ns, 5.8594 ns/op
OverheadActual   8: 256 op, 1200.00 ns, 4.6875 ns/op
OverheadActual   9: 256 op, 1900.00 ns, 7.4219 ns/op
OverheadActual  10: 256 op, 1300.00 ns, 5.0781 ns/op
OverheadActual  11: 256 op, 1200.00 ns, 4.6875 ns/op
OverheadActual  12: 256 op, 1200.00 ns, 4.6875 ns/op
OverheadActual  13: 256 op, 1200.00 ns, 4.6875 ns/op
OverheadActual  14: 256 op, 1600.00 ns, 6.2500 ns/op
OverheadActual  15: 256 op, 1600.00 ns, 6.2500 ns/op
OverheadActual  16: 256 op, 1400.00 ns, 5.4688 ns/op
OverheadActual  17: 256 op, 1300.00 ns, 5.0781 ns/op
OverheadActual  18: 256 op, 1400.00 ns, 5.4688 ns/op
OverheadActual  19: 256 op, 1400.00 ns, 5.4688 ns/op
OverheadActual  20: 256 op, 1400.00 ns, 5.4688 ns/op

WorkloadWarmup   1: 256 op, 740463700.00 ns, 2.8924 ms/op
WorkloadWarmup   2: 256 op, 783163100.00 ns, 3.0592 ms/op
WorkloadWarmup   3: 256 op, 744069600.00 ns, 2.9065 ms/op
WorkloadWarmup   4: 256 op, 796094200.00 ns, 3.1097 ms/op
WorkloadWarmup   5: 256 op, 743558900.00 ns, 2.9045 ms/op
WorkloadWarmup   6: 256 op, 776642300.00 ns, 3.0338 ms/op

// BeforeActualRun
WorkloadActual   1: 256 op, 812817600.00 ns, 3.1751 ms/op
WorkloadActual   2: 256 op, 772958800.00 ns, 3.0194 ms/op
WorkloadActual   3: 256 op, 747905100.00 ns, 2.9215 ms/op
WorkloadActual   4: 256 op, 762376300.00 ns, 2.9780 ms/op
WorkloadActual   5: 256 op, 727221400.00 ns, 2.8407 ms/op
WorkloadActual   6: 256 op, 712217200.00 ns, 2.7821 ms/op
WorkloadActual   7: 256 op, 785112600.00 ns, 3.0668 ms/op
WorkloadActual   8: 256 op, 750298500.00 ns, 2.9309 ms/op
WorkloadActual   9: 256 op, 743712300.00 ns, 2.9051 ms/op
WorkloadActual  10: 256 op, 725686000.00 ns, 2.8347 ms/op
WorkloadActual  11: 256 op, 745887200.00 ns, 2.9136 ms/op
WorkloadActual  12: 256 op, 744846400.00 ns, 2.9096 ms/op
WorkloadActual  13: 256 op, 738613300.00 ns, 2.8852 ms/op
WorkloadActual  14: 256 op, 798352800.00 ns, 3.1186 ms/op
WorkloadActual  15: 256 op, 768282600.00 ns, 3.0011 ms/op
WorkloadActual  16: 256 op, 704143900.00 ns, 2.7506 ms/op
WorkloadActual  17: 256 op, 744647900.00 ns, 2.9088 ms/op
WorkloadActual  18: 256 op, 736760500.00 ns, 2.8780 ms/op
