// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in D:\Storage\Project\benchmark\CodeBenchmark\bin\Release\net7.0\cf4c8a5b-f23c-46e6-b04d-d689778f7992
// command took 1.79 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in D:\Storage\Project\benchmark\CodeBenchmark\bin\Release\net7.0\cf4c8a5b-f23c-46e6-b04d-d689778f7992
// command took 3.81 sec and exited with 0
// ***** Done, took 00:00:05 (5.7 sec)   *****
// Found 2 benchmarks:
//   DeclarationBenchmark.TestClassDeclaration: DefaultJob [N=100]
//   DeclarationBenchmark.TestStructDeclaration: DefaultJob [N=100]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: DeclarationBenchmark.TestClassDeclaration: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet cf4c8a5b-f23c-46e6-b04d-d689778f7992.dll --anonymousPipes 1360 1364 --benchmarkName "CodeBenchmark.src.Declaraction.DeclarationBenchmark.TestClassDeclaration(N: 100)" --job Default --benchmarkId 0 in D:\Storage\Project\benchmark\CodeBenchmark\bin\Release\net7.0\cf4c8a5b-f23c-46e6-b04d-d689778f7992\bin\Release\net7.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.7
// Runtime=.NET 7.0.10 (7.0.1023.36312), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 246800.00 ns, 246.8000 us/op
WorkloadJitting  1: 1 op, 378000.00 ns, 378.0000 us/op

OverheadJitting  2: 16 op, 264800.00 ns, 16.5500 us/op
WorkloadJitting  2: 16 op, 332500.00 ns, 20.7812 us/op

WorkloadPilot    1: 16 op, 125800.00 ns, 7.8625 us/op
WorkloadPilot    2: 32 op, 190900.00 ns, 5.9656 us/op
WorkloadPilot    3: 64 op, 323100.00 ns, 5.0484 us/op
WorkloadPilot    4: 128 op, 579800.00 ns, 4.5297 us/op
WorkloadPilot    5: 256 op, 1045100.00 ns, 4.0824 us/op
WorkloadPilot    6: 512 op, 3175300.00 ns, 6.2018 us/op
WorkloadPilot    7: 1024 op, 3002200.00 ns, 2.9318 us/op
WorkloadPilot    8: 2048 op, 5629700.00 ns, 2.7489 us/op
WorkloadPilot    9: 4096 op, 12484500.00 ns, 3.0480 us/op
WorkloadPilot   10: 8192 op, 26888600.00 ns, 3.2823 us/op
WorkloadPilot   11: 16384 op, 52970200.00 ns, 3.2330 us/op
WorkloadPilot   12: 32768 op, 66308500.00 ns, 2.0236 us/op
WorkloadPilot   13: 65536 op, 107823300.00 ns, 1.6453 us/op
WorkloadPilot   14: 131072 op, 236577300.00 ns, 1.8049 us/op
WorkloadPilot   15: 262144 op, 444287200.00 ns, 1.6948 us/op
WorkloadPilot   16: 524288 op, 906293400.00 ns, 1.7286 us/op

OverheadWarmup   1: 524288 op, 1464700.00 ns, 2.7937 ns/op
OverheadWarmup   2: 524288 op, 1699600.00 ns, 3.2417 ns/op
OverheadWarmup   3: 524288 op, 1328900.00 ns, 2.5347 ns/op
OverheadWarmup   4: 524288 op, 1892300.00 ns, 3.6093 ns/op
OverheadWarmup   5: 524288 op, 1841900.00 ns, 3.5131 ns/op

OverheadActual   1: 524288 op, 2278800.00 ns, 4.3465 ns/op
OverheadActual   2: 524288 op, 1353000.00 ns, 2.5806 ns/op
OverheadActual   3: 524288 op, 1876700.00 ns, 3.5795 ns/op
OverheadActual   4: 524288 op, 2448100.00 ns, 4.6694 ns/op
OverheadActual   5: 524288 op, 2415500.00 ns, 4.6072 ns/op
OverheadActual   6: 524288 op, 1935200.00 ns, 3.6911 ns/op
OverheadActual   7: 524288 op, 3174000.00 ns, 6.0539 ns/op
OverheadActual   8: 524288 op, 2828700.00 ns, 5.3953 ns/op
OverheadActual   9: 524288 op, 1635700.00 ns, 3.1199 ns/op
OverheadActual  10: 524288 op, 1705800.00 ns, 3.2536 ns/op
OverheadActual  11: 524288 op, 1889500.00 ns, 3.6039 ns/op
OverheadActual  12: 524288 op, 1609400.00 ns, 3.0697 ns/op
OverheadActual  13: 524288 op, 1788900.00 ns, 3.4121 ns/op
OverheadActual  14: 524288 op, 2218700.00 ns, 4.2318 ns/op
OverheadActual  15: 524288 op, 1582200.00 ns, 3.0178 ns/op
OverheadActual  16: 524288 op, 1945800.00 ns, 3.7113 ns/op
OverheadActual  17: 524288 op, 1760200.00 ns, 3.3573 ns/op
OverheadActual  18: 524288 op, 1516300.00 ns, 2.8921 ns/op
OverheadActual  19: 524288 op, 1363000.00 ns, 2.5997 ns/op
OverheadActual  20: 524288 op, 1951000.00 ns, 3.7212 ns/op

WorkloadWarmup   1: 524288 op, 1063964900.00 ns, 2.0294 us/op
WorkloadWarmup   2: 524288 op, 949910400.00 ns, 1.8118 us/op
WorkloadWarmup   3: 524288 op, 867831900.00 ns, 1.6553 us/op
WorkloadWarmup   4: 524288 op, 893188300.00 ns, 1.7036 us/op
WorkloadWarmup   5: 524288 op, 866599900.00 ns, 1.6529 us/op
WorkloadWarmup   6: 524288 op, 858247000.00 ns, 1.6370 us/op
WorkloadWarmup   7: 524288 op, 910690300.00 ns, 1.7370 us/op
WorkloadWarmup   8: 524288 op, 950062100.00 ns, 1.8121 us/op
WorkloadWarmup   9: 524288 op, 906804200.00 ns, 1.7296 us/op

// BeforeActualRun
WorkloadActual   1: 524288 op, 886892400.00 ns, 1.6916 us/op
WorkloadActual   2: 524288 op, 954347000.00 ns, 1.8203 us/op
WorkloadActual   3: 524288 op, 1048781900.00 ns, 2.0004 us/op
WorkloadActual   4: 524288 op, 1111435400.00 ns, 2.1199 us/op
WorkloadActual   5: 524288 op, 1003473900.00 ns, 1.9140 us/op
WorkloadActual   6: 524288 op, 889029400.00 ns, 1.6957 us/op
WorkloadActual   7: 524288 op, 960096900.00 ns, 1.8312 us/op
WorkloadActual   8: 524288 op, 931135800.00 ns, 1.7760 us/op
WorkloadActual   9: 524288 op, 954773400.00 ns, 1.8211 us/op
WorkloadActual  10: 524288 op, 935860700.00 ns, 1.7850 us/op
WorkloadActual  11: 524288 op, 929418800.00 ns, 1.7727 us/op
WorkloadActual  12: 524288 op, 931666300.00 ns, 1.7770 us/op
WorkloadActual  13: 524288 op, 919952700.00 ns, 1.7547 us/op
WorkloadActual  14: 524288 op, 888109400.00 ns, 1.6939 us/op
WorkloadActual  15: 524288 op, 951650200.00 ns, 1.8151 us/op
WorkloadActual  16: 524288 op, 887818800.00 ns, 1.6934 us/op
WorkloadActual  17: 524288 op, 886924300.00 ns, 1.6917 us/op
WorkloadActual  18: 524288 op, 968455700.00 ns, 1.8472 us/op
WorkloadActual  19: 524288 op, 917757300.00 ns, 1.7505 us/op
WorkloadActual  20: 524288 op, 1078175000.00 ns, 2.0565 us/op
WorkloadActual  21: 524288 op, 1388979000.00 ns, 2.6493 us/op
