// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.04 sec)   *****
// Found 3 benchmarks:
//   SerializationBenchmark.JsonToJObjectTest: InProcess(Toolchain=InProcessEmitToolchain) [N=1000]
//   SerializationBenchmark.JsonToObjectTest: InProcess(Toolchain=InProcessEmitToolchain) [N=1000]
//   SerializationBenchmark.JsonToJsonSerializerTest: InProcess(Toolchain=InProcessEmitToolchain) [N=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: SerializationBenchmark.JsonToJObjectTest: InProcess(Toolchain=InProcessEmitToolchain) [N=1000]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.7
// Runtime=.NET 7.0.10 (7.0.1023.36312), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: Job-CNYTJZ(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 218500.00 ns, 218.5000 us/op
WorkloadJitting  1: 1 op, 93628000.00 ns, 93.6280 ms/op

WorkloadPilot    1: 2 op, 96474700.00 ns, 48.2373 ms/op
WorkloadPilot    2: 3 op, 144238000.00 ns, 48.0793 ms/op
WorkloadPilot    3: 4 op, 184114800.00 ns, 46.0287 ms/op
WorkloadPilot    4: 5 op, 155882700.00 ns, 31.1765 ms/op
WorkloadPilot    5: 6 op, 136976500.00 ns, 22.8294 ms/op
WorkloadPilot    6: 7 op, 168050200.00 ns, 24.0072 ms/op
WorkloadPilot    7: 8 op, 186508600.00 ns, 23.3136 ms/op
WorkloadPilot    8: 9 op, 207559900.00 ns, 23.0622 ms/op
WorkloadPilot    9: 10 op, 226423400.00 ns, 22.6423 ms/op
WorkloadPilot   10: 11 op, 244606400.00 ns, 22.2369 ms/op
WorkloadPilot   11: 12 op, 273359900.00 ns, 22.7800 ms/op
WorkloadPilot   12: 13 op, 301672500.00 ns, 23.2056 ms/op
WorkloadPilot   13: 14 op, 330901400.00 ns, 23.6358 ms/op
WorkloadPilot   14: 15 op, 336330300.00 ns, 22.4220 ms/op
WorkloadPilot   15: 16 op, 474796200.00 ns, 29.6748 ms/op
WorkloadPilot   16: 32 op, 829843100.00 ns, 25.9326 ms/op

WorkloadWarmup   1: 32 op, 753544200.00 ns, 23.5483 ms/op
WorkloadWarmup   2: 32 op, 824485700.00 ns, 25.7652 ms/op
WorkloadWarmup   3: 32 op, 716453700.00 ns, 22.3892 ms/op
WorkloadWarmup   4: 32 op, 717005500.00 ns, 22.4064 ms/op
WorkloadWarmup   5: 32 op, 738786300.00 ns, 23.0871 ms/op
WorkloadWarmup   6: 32 op, 836315600.00 ns, 26.1349 ms/op
WorkloadWarmup   7: 32 op, 742732600.00 ns, 23.2104 ms/op

WorkloadActual   1: 32 op, 811498600.00 ns, 25.3593 ms/op
WorkloadActual   2: 32 op, 714308600.00 ns, 22.3221 ms/op
WorkloadActual   3: 32 op, 753578700.00 ns, 23.5493 ms/op
WorkloadActual   4: 32 op, 763059100.00 ns, 23.8456 ms/op
WorkloadActual   5: 32 op, 715479400.00 ns, 22.3587 ms/op
WorkloadActual   6: 32 op, 857319000.00 ns, 26.7912 ms/op
WorkloadActual   7: 32 op, 739400800.00 ns, 23.1063 ms/op
WorkloadActual   8: 32 op, 821306700.00 ns, 25.6658 ms/op
WorkloadActual   9: 32 op, 762975200.00 ns, 23.8430 ms/op
WorkloadActual  10: 32 op, 710317600.00 ns, 22.1974 ms/op
WorkloadActual  11: 32 op, 757147800.00 ns, 23.6609 ms/op
WorkloadActual  12: 32 op, 786444600.00 ns, 24.5764 ms/op
WorkloadActual  13: 32 op, 736022000.00 ns, 23.0007 ms/op
WorkloadActual  14: 32 op, 760869100.00 ns, 23.7772 ms/op
WorkloadActual  15: 32 op, 728307500.00 ns, 22.7596 ms/op
WorkloadActual  16: 32 op, 755873500.00 ns, 23.6210 ms/op
WorkloadActual  17: 32 op, 743577300.00 ns, 23.2368 ms/op
WorkloadActual  18: 32 op, 742875800.00 ns, 23.2149 ms/op
WorkloadActual  19: 32 op, 758912300.00 ns, 23.7160 ms/op
WorkloadActual  20: 32 op, 846749100.00 ns, 26.4609 ms/op
WorkloadActual  21: 32 op, 744020500.00 ns, 23.2506 ms/op
WorkloadActual  22: 32 op, 805071700.00 ns, 25.1585 ms/op
WorkloadActual  23: 32 op, 698188900.00 ns, 21.8184 ms/op
WorkloadActual  24: 32 op, 773078100.00 ns, 24.1587 ms/op
WorkloadActual  25: 32 op, 706442900.00 ns, 22.0763 ms/op
WorkloadActual  26: 32 op, 779658400.00 ns, 24.3643 ms/op
WorkloadActual  27: 32 op, 811315400.00 ns, 25.3536 ms/op
WorkloadActual  28: 32 op, 700304900.00 ns, 21.8845 ms/op
WorkloadActual  29: 32 op, 729432000.00 ns, 22.7948 ms/op
WorkloadActual  30: 32 op, 704221800.00 ns, 22.0069 ms/op
WorkloadActual  31: 32 op, 698382700.00 ns, 21.8245 ms/op
WorkloadActual  32: 32 op, 748863800.00 ns, 23.4020 ms/op
WorkloadActual  33: 32 op, 818003000.00 ns, 25.5626 ms/op
WorkloadActual  34: 32 op, 735312000.00 ns, 22.9785 ms/op
WorkloadActual  35: 32 op, 736499500.00 ns, 23.0156 ms/op
WorkloadActual  36: 32 op, 701126800.00 ns, 21.9102 ms/op
WorkloadActual  37: 32 op, 790054100.00 ns, 24.6892 ms/op
WorkloadActual  38: 32 op, 699279500.00 ns, 21.8525 ms/op
