// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 7 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in D:\Storage\Project\benchmark\CodeBenchmark\bin\Release\net7.0\747d8eb3-c8b5-4cfe-88c1-4a0b085e81fe
// command took 2.35 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in D:\Storage\Project\benchmark\CodeBenchmark\bin\Release\net7.0\747d8eb3-c8b5-4cfe-88c1-4a0b085e81fe
// command took 4.33 sec and exited with 0
// ***** Done, took 00:00:06 (6.8 sec)   *****
// Found 7 benchmarks:
//   StringBenchmark.TestStringBuilder: DefaultJob [N=100]
//   StringBenchmark.TestStringConcat: DefaultJob [N=100]
//   StringBenchmark.TestStringPlusOperator: DefaultJob [N=100]
//   StringBenchmark.TestStringInterpolation: DefaultJob [N=100]
//   StringBenchmark.TestStringStringFormat: DefaultJob [N=100]
//   StringBenchmark.TestStringReplace: DefaultJob [N=100]
//   StringBenchmark.TestStringRegex: DefaultJob [N=100]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: StringBenchmark.TestStringBuilder: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 747d8eb3-c8b5-4cfe-88c1-4a0b085e81fe.dll --anonymousPipes 1268 1272 --benchmarkName "CodeBenchmark.src.String.StringBenchmark.TestStringBuilder(N: 100)" --job Default --benchmarkId 0 in D:\Storage\Project\benchmark\CodeBenchmark\bin\Release\net7.0\747d8eb3-c8b5-4cfe-88c1-4a0b085e81fe\bin\Release\net7.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.7
// Runtime=.NET 7.0.10 (7.0.1023.36312), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 361900.00 ns, 361.9000 us/op
WorkloadJitting  1: 1 op, 354800.00 ns, 354.8000 us/op

OverheadJitting  2: 16 op, 368000.00 ns, 23.0000 us/op
WorkloadJitting  2: 16 op, 357500.00 ns, 22.3438 us/op

WorkloadPilot    1: 16 op, 63500.00 ns, 3.9688 us/op
WorkloadPilot    2: 32 op, 122200.00 ns, 3.8187 us/op
WorkloadPilot    3: 64 op, 197100.00 ns, 3.0797 us/op
WorkloadPilot    4: 128 op, 388100.00 ns, 3.0320 us/op
WorkloadPilot    5: 256 op, 764000.00 ns, 2.9844 us/op
WorkloadPilot    6: 512 op, 2393000.00 ns, 4.6738 us/op
WorkloadPilot    7: 1024 op, 2807600.00 ns, 2.7418 us/op
WorkloadPilot    8: 2048 op, 5424100.00 ns, 2.6485 us/op
WorkloadPilot    9: 4096 op, 10344700.00 ns, 2.5256 us/op
WorkloadPilot   10: 8192 op, 20871900.00 ns, 2.5478 us/op
WorkloadPilot   11: 16384 op, 52346000.00 ns, 3.1949 us/op
WorkloadPilot   12: 32768 op, 84040500.00 ns, 2.5647 us/op
WorkloadPilot   13: 65536 op, 123585300.00 ns, 1.8858 us/op
WorkloadPilot   14: 131072 op, 228317400.00 ns, 1.7419 us/op
WorkloadPilot   15: 262144 op, 476941800.00 ns, 1.8194 us/op
WorkloadPilot   16: 524288 op, 932391600.00 ns, 1.7784 us/op

OverheadWarmup   1: 524288 op, 2057500.00 ns, 3.9244 ns/op
OverheadWarmup   2: 524288 op, 1672300.00 ns, 3.1897 ns/op
OverheadWarmup   3: 524288 op, 2595700.00 ns, 4.9509 ns/op
OverheadWarmup   4: 524288 op, 1899300.00 ns, 3.6226 ns/op
OverheadWarmup   5: 524288 op, 1725700.00 ns, 3.2915 ns/op
OverheadWarmup   6: 524288 op, 2131300.00 ns, 4.0651 ns/op
OverheadWarmup   7: 524288 op, 2057300.00 ns, 3.9240 ns/op

OverheadActual   1: 524288 op, 2479600.00 ns, 4.7295 ns/op
OverheadActual   2: 524288 op, 1850100.00 ns, 3.5288 ns/op
OverheadActual   3: 524288 op, 2186500.00 ns, 4.1704 ns/op
OverheadActual   4: 524288 op, 1689500.00 ns, 3.2225 ns/op
OverheadActual   5: 524288 op, 1966900.00 ns, 3.7516 ns/op
OverheadActual   6: 524288 op, 1790000.00 ns, 3.4142 ns/op
OverheadActual   7: 524288 op, 2454400.00 ns, 4.6814 ns/op
OverheadActual   8: 524288 op, 2627700.00 ns, 5.0119 ns/op
OverheadActual   9: 524288 op, 2545500.00 ns, 4.8552 ns/op
OverheadActual  10: 524288 op, 1806500.00 ns, 3.4456 ns/op
OverheadActual  11: 524288 op, 2168300.00 ns, 4.1357 ns/op
OverheadActual  12: 524288 op, 2168400.00 ns, 4.1359 ns/op
OverheadActual  13: 524288 op, 1772500.00 ns, 3.3808 ns/op
OverheadActual  14: 524288 op, 2223600.00 ns, 4.2412 ns/op
OverheadActual  15: 524288 op, 2897800.00 ns, 5.5271 ns/op
OverheadActual  16: 524288 op, 2495800.00 ns, 4.7604 ns/op
OverheadActual  17: 524288 op, 2901200.00 ns, 5.5336 ns/op
OverheadActual  18: 524288 op, 3010800.00 ns, 5.7426 ns/op
OverheadActual  19: 524288 op, 2626600.00 ns, 5.0098 ns/op
OverheadActual  20: 524288 op, 1956200.00 ns, 3.7312 ns/op

WorkloadWarmup   1: 524288 op, 1205015800.00 ns, 2.2984 us/op
WorkloadWarmup   2: 524288 op, 942200700.00 ns, 1.7971 us/op
WorkloadWarmup   3: 524288 op, 1063134000.00 ns, 2.0278 us/op
WorkloadWarmup   4: 524288 op, 919048600.00 ns, 1.7529 us/op
WorkloadWarmup   5: 524288 op, 890353200.00 ns, 1.6982 us/op
WorkloadWarmup   6: 524288 op, 966786100.00 ns, 1.8440 us/op
WorkloadWarmup   7: 524288 op, 907739800.00 ns, 1.7314 us/op

// BeforeActualRun
WorkloadActual   1: 524288 op, 913683000.00 ns, 1.7427 us/op
WorkloadActual   2: 524288 op, 947022100.00 ns, 1.8063 us/op
WorkloadActual   3: 524288 op, 887772600.00 ns, 1.6933 us/op
WorkloadActual   4: 524288 op, 1079421900.00 ns, 2.0588 us/op
WorkloadActual   5: 524288 op, 1282158600.00 ns, 2.4455 us/op
WorkloadActual   6: 524288 op, 1284501800.00 ns, 2.4500 us/op
WorkloadActual   7: 524288 op, 1123392600.00 ns, 2.1427 us/op
WorkloadActual   8: 524288 op, 962288500.00 ns, 1.8354 us/op
WorkloadActual   9: 524288 op, 838257600.00 ns, 1.5988 us/op
WorkloadActual  10: 524288 op, 909495300.00 ns, 1.7347 us/op
WorkloadActual  11: 524288 op, 803991500.00 ns, 1.5335 us/op
WorkloadActual  12: 524288 op, 864443000.00 ns, 1.6488 us/op
WorkloadActual  13: 524288 op, 866924100.00 ns, 1.6535 us/op
WorkloadActual  14: 524288 op, 867691200.00 ns, 1.6550 us/op
WorkloadActual  15: 524288 op, 794205600.00 ns, 1.5148 us/op
WorkloadActual  16: 524288 op, 836896200.00 ns, 1.5963 us/op
WorkloadActual  17: 524288 op, 794412000.00 ns, 1.5152 us/op
WorkloadActual  18: 524288 op, 851984000.00 ns, 1.6250 us/op
WorkloadActual  19: 524288 op, 873143900.00 ns, 1.6654 us/op
WorkloadActual  20: 524288 op, 874308700.00 ns, 1.6676 us/op
WorkloadActual  21: 524288 op, 830374300.00 ns, 1.5838 us/op
WorkloadActual  22: 524288 op, 862565600.00 ns, 1.6452 us/op
WorkloadActual  23: 524288 op, 845553700.00 ns, 1.6128 us/op
WorkloadActual  24: 524288 op, 873438600.00 ns, 1.6660 us/op
WorkloadActual  25: 524288 op, 846190900.00 ns, 1.6140 us/op
WorkloadActual  26: 524288 op, 903279200.00 ns, 1.7229 us/op
WorkloadActual  27: 524288 op, 866417000.00 ns, 1.6526 us/op
WorkloadActual  28: 524288 op, 874645500.00 ns, 1.6683 us/op
WorkloadActual  29: 524288 op, 843606600.00 ns, 1.6091 us/op
WorkloadActual  30: 524288 op, 839353700.00 ns, 1.6009 us/op
WorkloadActual  31: 524288 op, 846454700.00 ns, 1.6145 us/op
WorkloadActual  32: 524288 op, 829704900.00 ns, 1.5825 us/op
WorkloadActual  33: 524288 op, 861399600.00 ns, 1.6430 us/op
WorkloadActual  34: 524288 op, 948542600.00 ns, 1.8092 us/op
WorkloadActual  35: 524288 op, 905706700.00 ns, 1.7275 us/op
WorkloadActual  36: 524288 op, 1031940700.00 ns, 1.9683 us/op
WorkloadActual  37: 524288 op, 955030100.00 ns, 1.8216 us/op
WorkloadActual  38: 524288 op, 905563700.00 ns, 1.7272 us/op
WorkloadActual  39: 524288 op, 1211310900.00 ns, 2.3104 us/op
WorkloadActual  40: 524288 op, 898357900.00 ns, 1.7135 us/op
WorkloadActual  41: 524288 op, 925086400.00 ns, 1.7645 us/op
WorkloadActual  42: 524288 op, 866204300.00 ns, 1.6522 us/op
WorkloadActual  43: 524288 op, 900154000.00 ns, 1.7169 us/op
WorkloadActual  44: 524288 op, 985597900.00 ns, 1.8799 us/op
WorkloadActual  45: 524288 op, 960751100.00 ns, 1.8325 us/op
WorkloadActual  46: 524288 op, 901037200.00 ns, 1.7186 us/op
WorkloadActual  47: 524288 op, 1333277900.00 ns, 2.5430 us/op
